,fecha,tmin,horatmin,tmax,horatmax
0,2019-01-01,"3,1",07:05,"17,8",16:00
1,2019-01-02,"2,1",06:49,"17,8",14:44
2,2019-01-03,"4,9",00:51,"15,9",14:52
3,2019-01-04,"4,6",01:48,"17,2",15:07
4,2019-01-05,"3,4",04:48,"17,2",15:44
5,2019-01-06,"0,5",07:28,"18,7",15:28
6,2019-01-07,"1,2",07:38,"17,0",15:11
7,2019-01-08,"1,5",04:12,"17,0",15:26
8,2019-01-09,"0,9",04:43,"18,2",15:37
9,2019-01-10,"2,4",04:49,"16,9",15:22
10,2019-01-11,"1,3",07:05,"13,6",15:02
11,2019-01-12,"4,5",23:27,"15,1",14:47
12,2019-01-13,"1,0",06:45,"17,4",15:57
13,2019-01-14,"1,4",07:25,"17,9",15:56
14,2019-01-15,"2,9",04:41,"14,4",13:16
15,2019-01-16,"3,1",04:00,"17,0",14:35
16,2019-01-17,"5,2",05:55,"15,4",16:18
17,2019-01-18,"2,1",07:41,"16,0",14:51
18,2019-01-19,"8,2",07:30,"13,1",22:59
19,2019-01-20,"6,6",Varias,"17,0",15:34
20,2019-01-21,"2,3",06:05,"17,0",15:59
21,2019-01-22,"1,7",05:56,"14,7",15:07
22,2019-01-23,"9,1",Varias,"17,0",Varias
23,2019-01-24,"8,9",23:59,"19,3",15:55
24,2019-01-25,"7,4",07:40,"20,3",15:53
25,2019-01-26,"4,4",06:59,"21,2",16:00
26,2019-01-27,"6,0",23:38,"17,2",13:16
27,2019-01-28,"2,9",06:59,"17,7",14:53
28,2019-01-29,"4,3",07:32,"17,2",14:37
29,2019-01-30,"10,9",02:30,"16,2",12:30
30,2019-01-31,"12,9",00:30,"18,5",12:38
31,2019-02-01,"7,9",22:37,"16,4",12:42
32,2019-02-02,"4,8",23:20,"15,3",14:26
33,2019-02-03,"1,4",07:01,"14,4",15:48
34,2019-02-04,"2,1",05:11,"16,3",16:14
35,2019-02-05,"3,5",07:05,"20,3",16:01
36,2019-02-06,"4,9",06:56,"21,2",15:35
37,2019-02-07,"4,9",07:39,"21,2",16:55
38,2019-02-08,"5,1",05:50,"19,3",15:03
39,2019-02-09,"2,9",07:35,"18,1",15:21
40,2019-02-10,"6,0",04:24,"18,8",15:33
41,2019-02-11,"9,3",07:32,"19,6",14:14
42,2019-02-12,"6,9",07:27,"20,8",15:00
43,2019-02-13,"7,7",23:54,"20,3",15:37
44,2019-02-14,"6,6",03:54,"21,6",15:40
45,2019-02-15,"6,6",02:22,"20,2",15:35
46,2019-02-16,"8,1",23:47,"20,5",14:17
47,2019-02-17,"4,8",04:41,"21,2",15:21
48,2019-02-18,"7,8",03:50,"19,7",15:07
49,2019-02-19,"9,6",06:39,"19,3",15:08
50,2019-02-20,"6,9",07:08,"20,9",16:28
51,2019-02-21,"7,5",01:20,"22,0",15:27
52,2019-02-22,"7,2",02:55,"23,6",16:56
53,2019-02-23,"6,3",06:42,"23,4",16:08
54,2019-02-24,"5,9",06:44,"23,7",15:13
55,2019-02-25,"8,6",02:41,"22,3",15:38
56,2019-02-26,"6,9",03:42,"24,6",Varias
57,2019-02-27,"4,2",06:59,"22,9",16:11
58,2019-02-28,"4,9",06:48,"24,2",15:11
59,2019-03-01,"6,7",06:21,"20,5",15:18
60,2019-03-02,"7,4",05:57,"22,4",15:44
61,2019-03-03,"6,9",05:05,"25,1",14:44
62,2019-03-04,"11,1",02:00,"19,5",Varias
63,2019-03-05,"14,0",07:02,"18,3",14:11
64,2019-03-06,"10,1",23:54,"18,4",12:46
65,2019-03-07,"4,4",06:56,"18,0",13:39
66,2019-03-08,"10,4",23:23,"19,4",15:24
67,2019-03-09,"7,6",03:47,"23,1",15:56
68,2019-03-10,"7,5",04:54,"26,7",17:13
69,2019-03-11,"10,0",06:41,"28,1",16:49
70,2019-03-12,"9,9",05:52,"25,7",16:12
71,2019-03-13,"8,0",06:34,"22,1",15:31
72,2019-03-14,"8,0",06:04,"23,0",15:08
73,2019-03-15,"7,1",06:34,"27,0",16:10
74,2019-03-16,"6,0",06:40,"26,1",15:32
75,2019-03-17,"9,9",00:18,"25,7",15:50
76,2019-03-18,"9,2",06:40,"23,4",15:51
77,2019-03-19,"7,9",05:11,"22,6",15:31
78,2019-03-20,"6,4",06:35,"20,7",16:04
79,2019-03-21,"8,1",04:04,"20,5",15:25
80,2019-03-22,"6,6",05:30,"21,4",14:51
81,2019-03-23,"8,7",06:57,"21,8",14:45
82,2019-03-24,"11,4",06:00,"23,5",14:02
83,2019-03-25,"8,8",06:42,"25,4",16:11
84,2019-03-26,"12,9",06:25,"26,6",13:31
85,2019-03-27,"10,6",06:09,"22,9",15:26
86,2019-03-28,"9,7",03:30,"22,2",14:02
87,2019-03-29,"7,9",05:32,"24,4",14:37
88,2019-03-30,"9,3",03:29,"25,7",15:42
89,2019-03-31,"11,5",04:38,"22,7",13:51
90,2019-04-01,"12,2",05:37,"18,8",16:55
91,2019-04-02,"10,9",04:32,"22,8",15:57
92,2019-04-03,"9,6",06:18,"23,0",14:02
93,2019-04-04,"7,1",03:39,"20,3",15:26
94,2019-04-05,"9,0",23:43,"17,2",15:35
95,2019-04-06,"7,3",04:38,"17,1",12:07
96,2019-04-07,"8,9",05:25,"16,4",10:38
97,2019-04-08,"10,5",23:06,"19,0",12:54
98,2019-04-09,"8,2",04:08,"19,9",15:00
99,2019-04-10,"7,2",05:38,"21,5",14:33
100,2019-04-11,"6,9",06:01,"22,5",16:08
101,2019-04-12,"7,8",05:21,"24,3",17:35
102,2019-04-13,"8,0",05:57,"25,1",16:08
103,2019-04-14,"10,5",Varias,"27,7",16:16
104,2019-04-15,"12,1",05:27,"26,1",14:55
105,2019-04-16,"9,8",05:49,"26,4",16:11
106,2019-04-17,"9,6",06:01,"23,2",13:00
107,2019-04-18,"11,4",Varias,"20,1",13:36
108,2019-04-19,"10,0",06:01,"21,5",14:26
109,2019-04-20,"10,9",04:40,"21,0",15:31
110,2019-04-21,"13,2",06:24,"21,4",13:01
111,2019-04-22,"10,7",05:02,"25,3",15:16
112,2019-04-23,"10,6",11:40,"17,9",14:44
113,2019-04-24,"8,8",03:05,"17,3",12:16
114,2019-04-25,"10,2",23:00,"20,8",13:49
115,2019-04-26,"6,9",05:31,"22,6",15:13
116,2019-04-27,"10,0",04:39,"26,8",16:28
117,2019-04-28,"11,2",05:16,"28,6",16:03
118,2019-04-29,"11,6",05:22,"30,3",15:34
119,2019-04-30,"12,2",05:41,"30,8",16:06
120,2019-05-01,"13,7",04:44,"31,7",17:27
121,2019-05-02,"13,5",05:19,"31,0",15:30
122,2019-05-03,"14,1",05:40,"28,1",13:51
123,2019-05-04,"15,4",23:54,"25,0",16:00
124,2019-05-05,"14,9",23:57,"23,0",15:11
125,2019-05-06,"14,6",00:27,"26,8",15:47
126,2019-05-07,"11,9",04:40,"28,9",15:55
127,2019-05-08,"15,1",04:02,"25,0",15:07
128,2019-05-09,"15,6",03:13,"26,3",15:11
129,2019-05-10,"13,9",04:49,"31,5",17:24
130,2019-05-11,"16,5",05:21,"34,2",17:04
131,2019-05-12,"18,0",03:46,"34,4",14:54
132,2019-05-13,"16,0",05:25,"36,2",16:34
133,2019-05-14,"15,5",04:14,"34,1",Varias
134,2019-05-15,"14,3",05:10,"35,9",15:23
135,2019-05-16,"15,0",05:30,"32,8",15:03
136,2019-05-17,"12,5",05:18,"25,3",17:20
137,2019-05-18,"11,4",04:40,"25,8",15:32
138,2019-05-19,"15,1",04:35,"26,8",14:04
139,2019-05-20,"13,5",04:37,"29,3",15:38
140,2019-05-21,"12,8",03:44,"29,4",14:50
141,2019-05-22,"13,7",03:59,"31,8",16:19
142,2019-05-23,"15,1",05:00,"33,3",15:14
143,2019-05-24,"16,3",05:37,"31,8",15:17
144,2019-05-25,"15,5",04:22,"32,0",17:37
145,2019-05-26,"15,2",05:21,"34,2",16:21
146,2019-05-27,"15,1",04:04,"35,8",15:31
147,2019-05-28,"16,7",04:43,"36,5",15:02
148,2019-05-29,"17,4",02:43,"35,3",16:52
149,2019-05-30,"17,4",Varias,"32,8",16:07
150,2019-05-31,"16,9",02:47,"34,0",15:53
151,2019-06-01,"17,2",05:11,"35,4",16:08
152,2019-06-02,"16,5",04:32,"37,6",17:41
153,2019-06-03,"16,3",04:54,"35,9",15:39
154,2019-06-04,"15,7",04:28,"31,1",13:22
155,2019-06-05,"14,5",04:41,"27,2",14:50
156,2019-06-06,"15,1",03:08,"27,0",15:15
157,2019-06-07,"16,8",05:21,"28,8",17:28
158,2019-06-08,"14,2",04:39,"31,5",14:26
159,2019-06-09,"17,1",05:06,"31,0",15:05
160,2019-06-10,"14,4",04:46,"29,8",14:30
161,2019-06-11,"13,5",04:52,"29,8",14:46
162,2019-06-12,"13,7",04:38,"31,4",16:35
163,2019-06-13,"15,6",05:19,"30,2",15:03
164,2019-06-14,"15,9",05:15,"26,6",15:15
165,2019-06-15,"12,5",03:30,"31,0",17:23
166,2019-06-16,"14,4",03:33,"30,5",14:35
167,2019-06-17,"13,6",05:07,"31,2",14:23
168,2019-06-18,"14,8",05:01,"28,2",15:27
169,2019-06-19,"18,1",03:19,"31,0",15:02
170,2019-06-20,"17,4",04:58,"28,5",13:48
171,2019-06-21,"15,0",03:42,"32,8",15:45
172,2019-06-22,"15,5",04:34,"34,3",14:56
173,2019-06-23,"16,3",04:49,"33,1",15:24
174,2019-06-24,"19,4",03:43,"30,3",15:04
175,2019-06-25,"17,9",03:55,"32,8",16:39
176,2019-06-26,"19,5",02:52,"32,1",16:38
177,2019-06-27,"18,8",04:45,"31,8",16:30
178,2019-06-28,"19,3",04:30,"35,9",16:09
179,2019-06-29,"21,6",05:03,"36,9",15:20
180,2019-06-30,"20,6",23:30,"30,5",14:25
181,2019-07-01,"19,9",01:41,"33,1",14:53
182,2019-07-02,"18,2",05:13,"30,9",14:12
183,2019-07-03,"18,2",03:31,"28,8",14:50
184,2019-07-04,"17,9",03:03,"28,0",15:18
185,2019-07-05,"16,2",04:30,"32,8",14:47
186,2019-07-06,"16,3",05:30,"32,6",14:24
187,2019-07-07,"17,7",05:31,"32,3",14:05
188,2019-07-08,"17,4",05:09,"27,7",14:00
189,2019-07-09,"16,8",04:29,"31,7",15:01
190,2019-07-10,"17,5",05:22,"37,8",15:20
191,2019-07-11,"20,1",05:32,"40,1",15:05
192,2019-07-12,"21,5",23:51,"33,1",14:43
193,2019-07-13,"20,2",05:08,"30,3",14:07
194,2019-07-14,"19,8",04:30,"32,7",15:08
195,2019-07-15,"19,9",05:46,"32,5",14:19
196,2019-07-16,"18,9",03:42,"31,6",15:35
197,2019-07-17,"19,1",02:51,"29,9",15:43
198,2019-07-18,"18,7",04:48,"36,8",17:05
199,2019-07-19,"21,2",03:58,"40,8",14:30
200,2019-07-20,"22,7",04:54,"39,4",15:13
201,2019-07-21,"23,7",05:43,"37,1",15:37
202,2019-07-22,"22,7",04:57,"37,9",16:01
