,fecha,tmin,horatmin,tmax,horatmax
0,2021-01-01,"4,7",23:52,"13,6",14:19
1,2021-01-02,"0,2",07:34,"12,8",15:12
2,2021-01-03,"-1,5",06:16,"12,5",15:15
3,2021-01-04,"-0,6",07:10,"12,3",Varias
4,2021-01-05,"3,6",08:19,"11,3",12:58
5,2021-01-06,"2,0",03:59,"11,9",14:05
6,2021-01-07,"6,8",23:58,"8,6",Varias
7,2021-01-08,"6,7",00:30,"8,3",Varias
8,2021-01-09,"4,0",Varias,"10,1",14:34
9,2021-01-10,"2,3",08:00,"10,2",15:34
10,2021-01-11,"2,1",07:46,"13,3",15:58
11,2021-01-12,"0,5",07:38,"11,9",15:23
12,2021-01-13,"0,4",06:04,"15,6",16:40
13,2021-01-14,"-0,6",06:21,"13,5",15:33
14,2021-01-15,"-0,1",06:21,"16,1",15:55
15,2021-01-16,"1,6",Varias,"16,4",15:44
16,2021-01-17,"1,9",07:08,"17,9",15:10
17,2021-01-18,"0,9",06:31,"16,2",15:03
18,2021-01-19,"1,7",05:03,"14,8",13:47
19,2021-01-20,"11,6",00:03,"15,2",14:50
20,2021-01-21,"8,7",06:24,"17,5",13:14
21,2021-01-22,"12,7",20:43,"17,2",12:47
22,2021-01-23,"8,4",04:33,"17,4",13:40
23,2021-01-24,"12,7",23:30,"18,5",14:00
24,2021-01-25,"12,6",Varias,"19,5",14:34
25,2021-01-26,"14,4",07:23,"17,5",16:30
26,2021-01-27,"13,4",08:41,"20,7",15:17
27,2021-01-28,"10,4",07:40,"22,6",15:14
28,2021-01-29,"10,7",02:35,"14,3",Varias
29,2021-01-30,"11,8",23:37,"18,9",14:10
30,2021-01-31,"10,8",03:06,"18,6",15:09
31,2021-02-01,"10,7",22:48,"18,4",Varias
32,2021-02-02,"8,7",02:18,"19,0",15:11
33,2021-02-03,"12,2",07:47,"18,7",13:29
34,2021-02-04,"13,1",23:10,"18,4",13:49
35,2021-02-05,"10,9",07:33,"14,4",13:30
36,2021-02-06,"10,2",03:30,"14,6",12:00
37,2021-02-07,"9,8",04:18,"15,1",13:07
38,2021-02-08,"11,6",23:54,"16,9",14:49
39,2021-02-09,"11,4",01:41,"15,6",11:46
40,2021-02-10,"13,8",01:47,"18,5",14:17
41,2021-02-11,"13,7",07:30,"18,3",15:32
42,2021-02-12,"9,6",23:50,"20,3",16:13
43,2021-02-13,"6,9",06:13,"19,9",15:59
44,2021-02-14,"7,1",06:30,"22,4",14:59
45,2021-02-15,"8,6",Varias,"22,5",15:36
46,2021-02-16,"6,7",05:09,"21,3",16:41
47,2021-02-17,"7,3",06:59,"24,1",17:21
48,2021-02-18,"6,9",04:52,"18,3",15:53
49,2021-02-19,"8,2",00:20,"17,4",15:22
50,2021-02-20,"7,6",05:39,"22,3",14:25
51,2021-02-21,"9,3",23:41,"15,2",01:34
52,2021-02-22,"4,5",06:30,"16,9",15:05
53,2021-02-23,"6,1",06:35,"19,1",15:30
54,2021-02-24,"8,4",01:17,"20,5",13:17
55,2021-02-25,"8,7",Varias,"19,4",16:08
56,2021-02-26,"10,1",23:50,"19,3",13:43
57,2021-02-27,"7,6",06:46,"17,1",12:34
58,2021-02-28,"8,0",06:00,"19,9",14:59
59,2021-03-01,"10,9",01:36,"20,3",15:25
60,2021-03-02,"9,9",07:18,"21,1",15:53
61,2021-03-03,"9,1",05:39,"21,3",13:23
62,2021-03-04,"9,9",06:49,"21,0",15:11
63,2021-03-05,"10,9",22:06,"15,3",16:07
64,2021-03-06,"9,9",01:02,"17,7",12:51
65,2021-03-07,"11,3",22:23,"19,8",15:04
66,2021-03-08,"10,5",23:56,"16,8",14:48
67,2021-03-09,"7,1",05:02,"18,7",14:42
68,2021-03-10,"6,8",06:21,"20,8",16:03
69,2021-03-11,"7,1",06:30,"22,5",16:55
70,2021-03-12,"8,5",06:50,"21,6",15:40
71,2021-03-13,"5,1",04:34,"21,7",16:37
72,2021-03-14,"6,4",05:11,"21,6",16:04
73,2021-03-15,"8,8",04:13,"23,3",15:02
74,2021-03-16,"7,3",06:15,"23,5",14:35
75,2021-03-17,"10,4",01:55,"23,2",15:27
76,2021-03-18,"7,9",06:00,"21,5",14:59
77,2021-03-19,"6,0",02:46,"18,3",16:23
78,2021-03-20,"6,3",23:53,"17,5",15:07
79,2021-03-21,"1,6",06:10,"18,5",16:30
80,2021-03-22,"3,6",05:45,"21,4",15:22
81,2021-03-23,"5,5",06:32,"22,5",15:43
82,2021-03-24,"9,2",03:18,"23,1",16:12
83,2021-03-25,"9,2",02:31,"22,0",16:16
84,2021-03-26,,,,
85,2021-03-27,"10,0",06:15,"26,4",16:57
86,2021-03-28,"12,3",01:37,"26,3",16:04
87,2021-03-29,"15,0",06:13,"26,7",15:25
88,2021-03-30,"15,2",06:10,"26,3",12:57
