,fecha,tmin,horatmin,tmax,horatmax
0,2020-01-01,"6,3",07:45,"17,5",15:28
1,2020-01-02,"5,3",07:06,"16,4",15:25
2,2020-01-03,"6,5",03:08,"14,5",15:35
3,2020-01-04,"4,9",04:45,"14,1",15:30
4,2020-01-05,"7,2",23:52,"16,3",14:48
5,2020-01-06,"4,6",07:25,"17,0",15:57
6,2020-01-07,"4,9",07:17,"18,9",16:32
7,2020-01-08,"4,9",03:49,"18,7",15:32
8,2020-01-09,"4,2",05:34,"16,2",15:12
9,2020-01-10,"4,2",08:08,"16,1",15:22
10,2020-01-11,"5,4",Varias,"16,2",15:31
11,2020-01-12,"3,7",07:33,"17,0",15:05
12,2020-01-13,"3,1",06:03,"15,8",15:26
13,2020-01-14,"5,1",08:13,"15,3",15:56
14,2020-01-15,"5,2",06:43,"18,8",15:16
15,2020-01-16,"7,1",07:49,"18,7",14:37
16,2020-01-17,"9,1",23:42,"18,3",16:14
17,2020-01-18,"8,3",00:23,"15,9",17:30
18,2020-01-19,"7,9",07:32,"16,6",14:26
19,2020-01-20,"6,1",Varias,"13,4",15:46
20,2020-01-21,"6,2",06:36,"13,0",14:39
21,2020-01-22,"8,7",Varias,"11,5",15:50
22,2020-01-23,"9,6",08:31,"12,3",12:20
23,2020-01-24,"9,7",00:00,"14,5",12:12
24,2020-01-25,"8,0",23:37,"14,1",13:56
25,2020-01-26,"5,2",06:44,"15,7",15:26
26,2020-01-27,"7,4",Varias,"14,7",16:14
27,2020-01-28,"10,5",Varias,"16,0",15:53
28,2020-01-29,"9,1",04:44,"17,3",16:06
29,2020-01-30,"8,8",07:33,"17,2",16:00
30,2020-01-31,"11,8",Varias,"18,7",14:36
31,2020-02-01,"11,7",00:12,"21,5",15:04
32,2020-02-02,"10,8",07:26,"22,5",15:41
33,2020-02-03,"11,1",03:17,"24,5",15:17
34,2020-02-04,"10,8",06:28,"25,5",17:03
35,2020-02-05,"9,6",05:59,"22,9",15:18
36,2020-02-06,"8,6",05:53,"21,7",15:28
37,2020-02-07,"9,1",07:19,"19,0",15:39
38,2020-02-08,"12,8",06:48,"18,2",14:36
39,2020-02-09,"12,3",23:59,"19,8",15:52
40,2020-02-10,"10,3",05:47,"21,7",15:34
41,2020-02-11,"10,1",06:58,"22,0",15:08
42,2020-02-12,"12,9",06:42,"17,5",16:43
43,2020-02-13,"11,0",23:57,"20,5",15:50
44,2020-02-14,"9,2",05:44,"22,1",15:34
45,2020-02-15,"9,0",07:15,"22,8",16:01
46,2020-02-16,"8,4",07:29,"22,2",15:54
47,2020-02-17,"8,8",07:24,"23,4",15:53
48,2020-02-18,"12,3",06:42,"22,5",13:49
49,2020-02-19,"10,6",05:28,"21,2",15:28
50,2020-02-20,"10,3",07:14,"21,7",15:39
51,2020-02-21,"8,8",06:50,"22,7",15:22
52,2020-02-22,"9,4",07:08,"23,7",14:56
53,2020-02-23,"7,9",05:57,"24,6",15:30
54,2020-02-24,"8,1",04:02,"24,5",15:45
55,2020-02-25,"10,0",01:59,"21,5",14:09
56,2020-02-26,"7,7",06:58,"21,2",16:48
57,2020-02-27,"6,6",06:56,"22,9",16:30
58,2020-02-28,"8,9",07:00,"23,7",14:40
59,2020-02-29,"11,8",07:11,"18,3",13:50
60,2020-03-01,"12,0",06:56,"19,3",13:06
